eventid,region,attacktype1,targtype1,natlty1,weaptype1, 
201606120037 ,11,7,14,229,5,
201607050029 ,11,2,14,229,5,
201607050030 ,11,2,14,229,5,
201607050031 ,11,2,14,229,5,
201607070065 ,11,6,14,229,5,
201607070066 ,11,6,14,229,13,
201607080029 ,11,6,3,229,5,
201607080031 ,11,2,4,229,5,
201607110041 ,11,6,14,229,9,
201607110042 ,11,6,14,229,9,
201607140035 ,11,9,14,229,13,
201607160032 ,11,2,14,229,5,
201607160033 ,11,2,14,229,5,
201607170019 ,11,6,14,229,5,
201607170020 ,11,7,14,229,13,
201607170021 ,11,7,14,229,5,
201607180044 ,11,2,14,229,5,
201607190035 ,11,9,14,229,13,
201607190036 ,11,9,14,229,13,
201607200034 ,11,7,14,229,13,
201607210027 ,11,6,14,229,13,
201607210028 ,11,9,14,229,13,
201607220078 ,11,9,4,229,13,
201607230004 ,11,2,14,229,5,
201607240023 ,11,9,4,229,13,
201607300029 ,11,2,4,229,5,
201608060068 ,11,7,14,229,8,
201608080094 ,11,2,14,229,5,
201608080095 ,11,2,14,229,5,
201608080096 ,11,2,4,229,5,
201608080097 ,11,2,14,229,5,
201608130013 ,11,2,14,229,5,
201608160008 ,11,6,12,422,5,
201608220031 ,11,2,14,229,8,
201609050087 ,11,6,12,422,13,
201609140032 ,11,6,14,229,5,
201609170047 ,11,2,14,229,5,
201609170048 ,11,2,14,229,5,
201609170049 ,11,2,14,229,5,
201609220011 ,11,2,14,229,5,
201609220043 ,11,9,4,229,13,
201609230043 ,11,2,6,229,5,
201609280028 ,11,7,4,229,8,
201609280029 ,11,9,4,229,13,
201610040011 ,11,6,14,229,13,
201610040012 ,11,6,14,229,13,
201610090017 ,11,7,4,229,8,
201610100046 ,11,2,14,229,5,
201610200039 ,11,9,4,229,13,
201610310034 ,11,2,14,229,9,
201611060056 ,11,2,4,229,5,
201611080040 ,11,3,7,422,6,
201611130041 ,11,1,2,229,5,
201611140035 ,11,9,3,229,13,
201611140036 ,11,9,3,229,13,
201611180033 ,11,6,15,229,5,
201611230045 ,11,6,3,229,5,
201611260047 ,11,6,14,229,5,
201611270022 ,11,2,14,229,5,
201611270023 ,11,2,4,229,5,
201611280043 ,11,2,1,229,5,
201611280044 ,11,9,14,229,13,
201611280045 ,11,9,14,229,13,
201611280046 ,11,9,14,229,13,
201611280047 ,11,9,14,229,13,
201611280048 ,11,9,14,229,13,
201611300033 ,11,9,4,229,13,
201612050010 ,11,9,14,229,13,
201612060038 ,11,7,14,229,13,
201612140052 ,11,2,3,229,5,
201612150073 ,11,7,14,229,13,
201612170041 ,11,9,4,229,13,
201612170042 ,11,9,4,229,13,
201612170043 ,11,9,4,229,13,
201612180046 ,11,9,4,229,13,
201612190029 ,11,2,3,229,5,
201612210040 ,11,2,14,229,5,
201612210041 ,11,2,14,229,5,
201612210042 ,11,2,2,229,5,
201612220004 ,11,2,14,229,5,
201612240004 ,11,2,14,229,5,
201612240005 ,11,2,14,229,5,
201612240006 ,11,2,14,229,5,
201612250012 ,11,2,14,229,5,
201612250015 ,11,9,14,229,13,
201612300016 ,11,2,4,229,5,
201612310043 ,11,6,14,229,13,
201501010070 ,10,3,20,228,6,
201501010071 ,10,3,3,228,6,
201501010074 ,10,9,4,228,13,
201501010093 ,10,9,4,228,13,
201501020083 ,10,6,15,228,13,
201501030090 ,10,3,14,228,6,
201501030091 ,10,2,3,228,5,
201501040012 ,10,1,4,228,5,
201501040044 ,10,2,2,228,5,
201501050045 ,10,6,14,228,13,
201501050046 ,10,3,21,228,6,
201501070004 ,10,3,3,228,6,
201501080048 ,10,3,1,228,6,
201501080049 ,10,2,2,228,5,
201501080069 ,10,6,8,228,13,
201501080070 ,10,1,14,228,6,
201501120011 ,10,1,2,228,5,
201501130021 ,10,1,2,228,5,
201501150065 ,10,1,4,228,5,
201501180019 ,10,1,8,228,5,
201501180021 ,10,1,2,228,5,
201501190009 ,10,1,2,228,5,
201501190011 ,10,6,8,228,5,
201501190012 ,10,2,2,228,5,
201501190030 ,10,2,7,228,5,
201501200022 ,10,6,2,228,13,
201501200024 ,10,1,4,228,6,
201501200043 ,10,1,2,228,6,
201501200044 ,10,1,2,228,5,
201501210010 ,10,6,14,228,13,
201501220025 ,10,9,17,228,13,
201501220026 ,10,6,14,228,13,
201501230021 ,10,2,4,228,5,
201501230049 ,10,1,17,228,6,
201501240069 ,10,6,10,228,13,
201501250025 ,10,6,10,228,5,
201501250065 ,10,1,2,228,13,
201501250066 ,10,1,2,228,13,
201501250067 ,10,1,4,228,13,
201501260008 ,10,2,4,228,5,
201501280013 ,10,3,4,228,6,
201501280015 ,10,6,14,228,5,
201501280018 ,10,1,14,228,6,
201501280019 ,10,1,14,228,6,
201501290025 ,10,6,14,69,5,
201501290065 ,10,3,14,228,6,
201501300024 ,10,2,4,228,5,
201501300028 ,10,6,14,228,13,
201501300031 ,10,2,4,228,5,
201501300032 ,10,2,4,228,5,
201501310005 ,10,6,14,228,5,
201501310007 ,10,3,4,228,6,
201502010136 ,10,9,4,228,13,
201502020096 ,10,3,4,228,6,
201502030046 ,10,3,2,228,6,
201502030047 ,10,3,14,228,6,
201502030048 ,10,3,21,228,6,
201502030049 ,10,9,4,228,13,
201502040029 ,10,3,4,228,6,
201502040030 ,10,1,1,228,5,
201502040031 ,10,2,14,228,5,
201502050083 ,10,2,4,228,5,
201502070051 ,10,3,22,228,6,
201502080107 ,10,9,4,228,13,
201502090009 ,10,2,20,228,5,
201502090015 ,10,2,4,228,5,
201502100031 ,10,3,14,228,6,
201502100102 ,10,3,4,228,6,
201502100105 ,10,6,14,228,13,
201502120104 ,10,3,4,228,6,
201502130005 ,10,3,4,228,6,
201502130072 ,10,3,4,228,6,
201502130076 ,10,3,3,228,6,
201502140002 ,10,2,4,228,5,
201502140020 ,10,2,14,228,5,
201502140022 ,10,6,14,228,13,
201502140023 ,10,2,14,228,6,
201502140073 ,10,6,14,228,13,
201502160007 ,10,6,10,228,5,
201502160011 ,10,2,4,228,5,
201502160117 ,10,7,4,228,5,
201502170001 ,10,3,4,228,6,
201502180013 ,10,1,4,228,5,
201502180014 ,10,2,4,228,5,
201502200014 ,10,2,4,228,6,
201502200015 ,10,2,4,228,6,
201502200016 ,10,2,4,228,6,
201502200091 ,10,6,4,228,5,
201502210023 ,10,9,4,228,13,
201502210096 ,10,6,2,228,13,
201502230080 ,10,3,20,228,6,
201502240023 ,10,6,7,422,5,
201502240024 ,10,3,4,228,6,
201502240026 ,10,3,20,228,6,
201502250052 ,10,3,20,228,6,
201502250053 ,10,3,20,228,6,
201502250064 ,10,9,4,228,13,
201502260046 ,10,6,14,228,5,
201502280020 ,10,2,4,228,5,
201502280070 ,10,6,10,228,13,
201503020020 ,10,9,22,228,13,
201503020022 ,10,2,14,228,5,
201503020023 ,10,3,14,228,6,
201503030042 ,10,9,4,228,13,
201503030045 ,10,3,14,228,6,
